Siniestro;Poliza;Fec_ocu;Fec_com;Fec_pago;Importe
35;65415;2015-08-28;2015-09-11;2015-10-11;175
36;62653;2017-04-16;2017-04-26;2017-06-05;188
37;64135;2013-07-03;2013-07-17;2014-10-28;180
38;62290;2017-06-17;2017-08-02;2017-08-12;120
39;64447;2014-01-28;2014-03-11;2014-04-10;173
40;65134;2015-07-25;2015-08-11;2015-09-10;171
41;62635;2014-09-08;2014-09-20;2015-02-20;181
42;69327;2013-11-14;2013-12-30;2014-01-09;178
43;68718;2018-10-07;2018-10-27;2018-10-28;194
44;65724;2014-03-15;2014-04-02;2014-05-12;153
45;69110;2015-08-03;2015-08-12;2016-07-08;263
46;63768;2015-03-12;2015-03-31;2018-08-23;181
47;60586;2014-12-10;2014-12-23;2015-02-01;253
48;61649;2015-07-26;2015-08-10;2016-03-07;253
49;68511;2018-07-21;2018-08-03;2018-08-13;199
50;60910;2016-04-27;2016-05-06;2016-06-15;146
51;64009;2015-02-14;2015-03-06;2016-09-07;105
52;60686;2015-05-29;2015-06-13;2015-07-03;132
53;68028;2014-03-06;2014-03-18;2014-04-17;182
54;61886;2014-05-18;2014-05-21;2017-11-03;200
55;60817;2013-09-07;2013-09-20;2013-09-30;162
56;69786;2016-03-06;2016-03-14;2016-10-03;173
57;66179;2014-06-15;2014-07-28;2018-11-04;304
58;68881;2013-11-27;2013-12-17;2016-10-25;205
59;63747;2016-10-07;2016-11-23;2016-12-23;144
60;67917;2014-11-12;2014-12-19;2015-06-16;218
61;61316;2013-04-02;2013-04-15;2013-04-25;154
62;60179;2013-11-18;2014-01-04;2014-02-13;94
63;69654;2015-05-06;2015-06-12;2017-04-01;199
64;60330;2015-05-03;2015-05-12;2015-06-11;161
65;63329;2017-09-04;2017-09-21;2017-10-31;195
66;61779;2016-09-12;2016-10-26;2016-12-05;265
67;65955;2015-09-06;2015-09-16;2015-10-16;196
68;68778;2016-07-18;2016-07-28;2017-01-25;157
69;67986;2017-11-10;2017-12-17;2018-03-18;258
70;61733;2013-10-14;2013-11-01;2017-10-05;105
71;61570;2016-09-12;2016-10-21;2016-11-02;144
72;61182;2015-12-03;2015-12-18;2017-11-22;249
73;62277;2014-08-01;2014-08-11;2014-10-20;254
74;62198;2016-09-10;2016-09-16;2016-09-26;180
75;60815;2014-06-28;2014-07-14;2014-07-24;162
76;62178;2016-03-14;2016-03-30;2016-05-09;204
77;68592;2016-12-10;2016-12-27;2017-05-22;203
78;66350;2018-10-08;2018-10-25;2018-11-24;197
79;68564;2013-12-24;2014-01-10;2014-01-30;171
80;67968;2017-05-05;2017-05-23;2018-07-18;137
81;65410;2014-09-14;2014-10-01;2014-10-11;160
82;67752;2016-07-17;2016-08-05;2016-08-15;173
83;66934;2016-10-09;2016-10-16;2018-06-13;173
84;66775;2016-03-10;2016-04-25;2016-05-05;162
85;65929;2013-02-21;2013-03-08;2013-04-07;184
86;68718;2014-01-08;2014-01-15;2014-02-14;116
87;67409;2015-11-10;2015-11-26;2015-12-16;226
88;66562;2014-09-14;2014-10-24;2018-01-03;246
89;69509;2013-06-03;2013-06-20;2013-07-30;165
90;63525;2017-05-24;2017-06-08;2017-09-30;134
91;65453;2016-02-18;2016-03-29;2016-08-09;204
92;69036;2014-01-15;2014-02-02;2018-12-21;212
93;63171;2014-04-12;2014-04-22;2014-05-02;185
94;67315;2017-12-03;2017-12-10;2018-01-09;232
95;66279;2013-12-13;2014-01-26;2014-02-15;170
96;65692;2015-07-08;2015-08-21;2015-09-10;148
97;60436;2017-02-12;2017-02-24;2017-04-05;254
98;65549;2013-10-26;2013-11-12;2013-12-02;173
99;62923;2014-12-01;2014-12-15;2018-07-21;175
100;68819;2018-06-01;2018-06-07;2018-07-17;99
101;69181;2014-03-25;2014-04-06;2018-08-19;178
102;61458;2017-07-13;2017-07-27;2017-09-05;168
103;67835;2017-07-16;2017-07-27;2017-08-06;192
104;64714;2014-10-22;2014-12-07;2014-12-17;221
105;61161;2015-11-26;2015-12-02;2016-09-25;201
106;69450;2014-02-09;2014-02-12;2014-03-04;146
107;67587;2014-10-20;2014-12-06;2015-01-15;236
108;64075;2018-08-18;2018-10-04;2018-10-14;208
109;69174;2013-03-13;2013-03-28;2013-04-27;216
110;68904;2018-03-09;2018-03-19;2018-03-29;190
111;62167;2013-11-20;2013-12-01;2013-12-31;197
112;66986;2013-11-30;2013-12-10;2014-01-09;136
113;62475;2015-04-04;2015-04-17;2017-07-15;130
114;62064;2015-10-05;2015-10-24;2015-11-23;166
115;65796;2018-06-10;2018-07-23;2018-09-01;164
116;65313;2017-08-07;2017-08-14;2018-01-06;201
117;61077;2015-06-22;2015-06-30;2015-08-09;56
118;67191;2016-07-24;2016-08-08;2016-09-07;168
119;63287;2014-01-04;2014-02-15;2014-03-17;157
120;64093;2016-03-04;2016-03-14;2018-08-17;236
121;66738;2013-06-25;2013-06-30;2018-06-08;167
122;64513;2017-09-01;2017-09-12;2018-01-02;168
123;68768;2017-10-01;2017-10-11;2018-07-06;192
124;64914;2016-02-11;2016-02-21;2017-12-14;208
125;61405;2013-12-27;2014-01-11;2014-01-31;109
126;62361;2014-10-02;2014-11-12;2014-12-22;138
127;64189;2017-07-25;2017-07-31;2017-08-20;215
128;67857;2013-11-05;2013-11-25;2017-04-24;202
129;65543;2015-11-19;2015-11-23;2015-12-03;189
130;67115;2017-05-01;2017-05-07;2017-06-16;251
131;64579;2013-07-16;2013-07-25;2013-08-04;125
132;67652;2015-07-08;2015-07-20;2015-07-30;192
133;65649;2018-03-03;2018-03-19;2018-03-29;168
134;69501;2014-12-01;2014-12-08;2014-12-28;200
135;69975;2018-04-24;2018-05-05;2018-11-24;159
136;62725;2016-05-20;2016-06-26;2018-04-25;200
137;62218;2013-03-30;2013-04-09;2018-09-02;295
138;69732;2015-10-02;2015-11-15;2015-12-15;215
139;65377;2013-12-28;2014-01-12;2014-02-01;200
140;63876;2014-07-07;2014-07-12;2018-03-28;257
141;69044;2017-07-30;2017-08-18;2017-08-28;219
142;61958;2013-11-24;2013-12-05;2013-12-15;281
143;65506;2017-09-22;2017-09-29;2017-10-19;157
144;68592;2017-01-11;2017-01-29;2017-02-08;149
145;65054;2018-09-02;2018-09-10;2018-11-06;109
146;64009;2013-02-16;2013-03-06;2013-04-15;155
147;68077;2014-06-23;2014-07-25;2014-08-14;114
148;69488;2017-07-08;2017-08-10;2017-08-30;255
149;60898;2016-10-21;2016-11-04;2016-12-14;198
150;65567;2013-06-28;2013-07-09;2017-03-23;216
151;69508;2014-07-05;2014-07-15;2014-08-14;201
152;67650;2015-05-27;2015-06-10;2015-07-10;193
153;62736;2015-10-16;2015-10-22;2015-11-11;184
154;63733;2015-04-27;2015-05-12;2015-06-01;132
155;69513;2014-05-07;2014-05-20;2016-11-18;256
156;68999;2014-12-27;2015-01-07;2016-06-08;178
157;65410;2014-08-25;2014-10-11;2014-11-20;266
158;69740;2015-04-23;2015-05-05;2015-05-25;221
159;64051;2013-12-23;2013-12-29;2014-01-28;137
160;65529;2014-01-24;2014-03-02;2016-11-09;176
161;69894;2015-05-05;2015-05-21;2015-10-30;176
162;69844;2013-04-14;2013-04-25;2013-05-15;168
163;66751;2013-09-06;2013-09-10;2015-06-17;166
164;65147;2015-10-14;2015-10-20;2015-11-29;187
165;63012;2016-02-17;2016-03-08;2016-03-18;164
166;68136;2016-12-01;2016-12-13;2017-05-10;159
167;67618;2013-12-08;2013-12-18;2014-01-17;193
168;67165;2015-08-09;2015-08-24;2018-05-08;190
169;67336;2014-02-10;2014-02-16;2014-10-11;168
170;65672;2018-09-30;2018-10-03;2018-10-23;206
171;62518;2013-05-01;2013-05-16;2013-06-15;170
172;63338;2013-05-25;2013-06-03;2014-05-22;205
173;63573;2016-04-27;2016-05-02;2017-06-29;188
174;61959;2015-02-14;2015-03-03;2015-04-02;235
175;60952;2016-01-09;2016-01-15;2016-02-04;114
176;69588;2017-10-02;2017-10-22;2018-05-17;259
177;68970;2014-04-24;2014-05-13;2014-06-22;170
178;66768;2015-05-04;2015-05-14;2017-07-27;238
179;60110;2015-05-24;2015-07-07;2015-07-17;163
180;60218;2016-05-20;2016-05-27;2016-07-06;180
181;62889;2013-01-29;2013-02-16;2013-02-26;205
182;62294;2014-05-10;2014-05-20;2018-06-19;170
183;66221;2014-12-28;2015-01-02;2018-02-27;165
184;60847;2015-02-02;2015-02-17;2015-03-29;178
185;60008;2015-02-18;2015-03-02;2015-03-22;247
186;65245;2015-12-27;2016-01-14;2016-02-23;113
187;61437;2017-01-25;2017-02-10;2017-03-22;183
188;65109;2014-03-14;2014-03-19;2014-03-29;244
189;61281;2015-08-15;2015-08-29;2016-07-26;173
190;69448;2014-05-22;2014-06-28;2017-02-02;249
191;67613;2017-05-29;2017-06-08;2017-07-04;93
192;61633;2016-12-02;2016-12-07;2016-12-17;129
193;69166;2017-10-24;2017-12-06;2018-01-15;163
194;62298;2013-04-13;2013-04-30;2013-05-20;149
195;67764;2018-03-21;2018-04-02;2018-10-13;154
196;67407;2013-04-14;2013-04-25;2013-06-04;208
197;66813;2013-09-02;2013-09-09;2013-10-09;137
198;67294;2017-11-10;2017-12-20;2018-12-27;196
199;62725;2017-07-27;2017-09-05;2017-10-16;194
200;68946;2016-08-23;2016-08-30;2017-01-24;175
201;63253;2013-11-17;2013-11-29;2013-12-19;272
202;66338;2014-06-15;2014-07-27;2014-08-16;168
203;65906;2017-08-25;2017-09-11;2018-07-20;271
204;67624;2016-04-17;2016-04-27;2016-05-27;158
205;63141;2017-05-16;2017-06-03;2017-06-23;206
206;65357;2013-03-16;2013-03-25;2013-04-04;199
207;62137;2013-04-02;2013-04-05;2013-04-25;153
208;68590;2018-10-04;2018-11-18;2018-12-28;216
209;62295;2015-08-26;2015-09-08;2018-07-25;238
210;66030;2014-03-16;2014-03-31;2017-12-25;215
211;68421;2015-11-02;2015-11-20;2017-10-02;189
212;61656;2016-06-23;2016-07-12;2018-11-03;244
213;66376;2017-11-03;2017-11-06;2018-10-06;217
214;61085;2013-12-07;2013-12-26;2016-05-31;203
215;60882;2016-07-02;2016-07-07;2016-08-06;65
216;61813;2017-04-20;2017-04-26;2017-05-26;178
217;65383;2018-02-14;2018-02-18;2018-09-22;221
218;61293;2017-04-15;2017-04-27;2017-05-27;136
219;63446;2013-09-16;2013-10-05;2013-11-14;57
220;63544;2014-06-21;2014-06-24;2014-07-14;146
221;60535;2017-03-06;2017-04-13;2017-05-23;174
222;63141;2017-09-19;2017-10-07;2018-01-16;111
223;63684;2015-07-23;2015-07-27;2015-08-26;162
224;65976;2018-06-27;2018-06-30;2018-08-09;194
225;63556;2013-10-28;2013-11-11;2014-01-25;141
226;60986;2016-02-23;2016-04-07;2016-07-23;156
227;65526;2015-11-03;2015-11-20;2015-12-20;238
228;66459;2016-07-17;2016-08-05;2018-12-13;176
229;61051;2014-03-30;2014-04-05;2014-05-15;134
230;66567;2015-05-21;2015-06-02;2015-07-02;200
231;61733;2015-05-22;2015-05-26;2015-06-15;208
232;63758;2013-07-15;2013-07-22;2015-08-29;186
233;62278;2015-09-16;2015-09-23;2018-09-17;180
234;61745;2015-04-06;2015-05-13;2016-10-21;153
235;61114;2013-11-10;2013-11-13;2015-01-20;300
236;63831;2014-07-21;2014-07-28;2014-08-07;146
237;63921;2014-09-05;2014-10-19;2014-11-28;191
238;60663;2017-06-11;2017-06-28;2017-07-28;210
239;60994;2015-07-16;2015-07-24;2015-09-02;234
240;61275;2017-03-29;2017-05-06;2018-06-25;174
241;68278;2016-04-19;2016-05-06;2016-05-26;201
242;69622;2016-12-10;2017-01-19;2017-02-18;166
243;69574;2017-06-28;2017-07-03;2018-12-07;206
244;62341;2013-06-13;2013-06-16;2013-06-26;113
245;64516;2017-07-22;2017-08-04;2017-09-03;242
246;62607;2017-12-26;2018-02-01;2018-07-17;204
247;60226;2015-06-17;2015-06-22;2015-07-12;221
248;66379;2013-07-22;2013-08-03;2013-09-12;183
249;61984;2016-04-17;2016-04-27;2016-06-06;105
250;61388;2018-01-31;2018-02-04;2018-02-24;149
251;62041;2015-04-20;2015-04-29;2015-06-08;176
252;68831;2015-07-14;2015-08-19;2015-08-29;248
253;62191;2015-08-04;2015-08-09;2016-11-10;185
254;61431;2013-07-15;2013-07-28;2013-08-17;232
255;69022;2015-12-15;2016-01-02;2018-01-22;192
256;66508;2015-12-31;2016-01-20;2017-02-04;156
257;68555;2016-10-03;2016-10-15;2017-11-04;172
258;66188;2015-07-13;2015-08-15;2015-09-04;210
259;62263;2015-01-24;2015-01-27;2017-01-08;217
260;65054;2018-07-28;2018-08-14;2018-11-25;155
261;61110;2015-07-11;2015-07-15;2015-07-25;194
262;69667;2015-05-25;2015-06-01;2017-07-29;195
263;67746;2013-05-21;2013-07-03;2016-01-20;220
264;64071;2013-09-02;2013-10-09;2014-09-10;243
265;67910;2017-12-02;2017-12-20;2018-01-19;136
266;66043;2014-09-02;2014-09-09;2014-09-29;156
267;62943;2013-01-23;2013-02-10;2013-03-22;112
268;61785;2017-11-14;2017-11-28;2018-07-29;265
269;62064;2014-06-04;2014-07-12;2014-07-22;195
270;69470;2018-02-18;2018-02-24;2018-03-06;126
271;60060;2018-06-14;2018-06-20;2018-07-20;278
272;68622;2016-01-21;2016-01-24;2016-02-03;181
273;68113;2015-03-10;2015-03-20;2018-11-12;194
274;66641;2016-04-07;2016-04-25;2016-05-15;202
275;61236;2015-03-18;2015-04-01;2015-05-11;221
276;60724;2015-04-20;2015-05-05;2015-05-15;110
277;69346;2016-11-05;2016-11-21;2016-12-01;184
278;63213;2013-06-02;2013-06-13;2018-07-19;223
279;63192;2016-02-29;2016-04-15;2016-05-15;207
280;68688;2016-03-30;2016-04-06;2016-05-06;186
281;61962;2013-09-18;2013-09-22;2013-11-01;166
282;69157;2014-10-25;2014-12-01;2016-07-29;127
283;60383;2017-01-10;2017-01-23;2017-03-04;63
284;63472;2017-10-01;2017-10-11;2017-11-20;116
285;69942;2017-01-29;2017-02-11;2017-02-21;208
286;67706;2013-08-31;2013-09-13;2013-10-13;199
287;69799;2014-05-11;2014-05-26;2014-07-05;167
288;67396;2015-11-13;2015-12-22;2016-01-01;198
289;67043;2014-10-29;2014-11-12;2014-12-22;270
290;67837;2018-03-08;2018-03-22;2018-04-01;194
291;64905;2018-05-06;2018-05-12;2018-06-01;176
292;62500;2014-06-05;2014-06-17;2016-12-05;318
293;68999;2017-07-11;2017-07-17;2017-08-06;202
294;62744;2013-10-20;2013-11-02;2013-12-12;171
295;60920;2016-05-14;2016-05-31;2016-06-20;253
296;65358;2016-09-04;2016-09-10;2016-09-20;168
297;60254;2017-04-16;2017-04-19;2018-10-15;200
298;64365;2017-09-14;2017-09-29;2017-10-17;211
299;68987;2016-08-05;2016-08-15;2017-01-31;260
300;67922;2015-10-16;2015-10-21;2015-11-30;170
301;64273;2018-06-23;2018-07-06;2018-08-05;232
302;65826;2013-09-16;2013-09-29;2016-10-21;140
303;63509;2018-10-07;2018-10-17;2018-11-26;195
304;62518;2014-10-04;2014-10-22;2015-06-12;205
305;67447;2016-03-11;2016-03-31;2016-04-20;215
306;69229;2014-10-31;2014-11-12;2017-01-01;288
307;67717;2015-01-20;2015-01-23;2015-02-12;195
308;68656;2017-05-31;2017-07-11;2017-08-20;194
309;66607;2013-01-07;2013-01-12;2013-02-01;186
310;64071;2013-05-01;2013-05-05;2013-06-04;187
311;66753;2013-12-20;2014-01-26;2018-01-04;221
312;67650;2017-06-14;2017-06-17;2017-06-27;209
313;67538;2016-05-29;2016-06-04;2018-07-10;248
314;63499;2015-08-19;2015-09-01;2015-10-11;182
315;65935;2013-06-10;2013-06-18;2018-07-14;230
316;64784;2014-09-24;2014-10-12;2017-02-23;222
317;64569;2013-01-15;2013-01-27;2013-02-16;206
318;67005;2015-05-16;2015-06-22;2016-06-28;218
319;60802;2014-03-12;2014-04-19;2018-07-28;210
320;69660;2014-09-21;2014-09-27;2018-04-10;192
321;67954;2016-04-09;2016-04-13;2016-05-03;193
322;64118;2013-01-15;2013-01-20;2013-03-01;133
323;65390;2013-07-08;2013-07-27;2013-08-06;151
324;68644;2016-11-25;2016-12-08;2016-12-18;189
325;62781;2013-05-07;2013-05-14;2018-07-25;214
326;61920;2015-01-01;2015-01-07;2016-02-25;214
327;64427;2013-09-11;2013-09-14;2013-10-04;183
328;69353;2013-10-27;2013-11-14;2013-12-24;159
329;67263;2014-11-16;2014-11-28;2015-01-07;202
330;62932;2016-06-26;2016-06-30;2016-08-09;188
331;66576;2014-07-11;2014-07-28;2014-08-17;147
332;66274;2015-04-07;2015-05-16;2017-10-04;220
333;67577;2016-12-01;2016-12-05;2017-10-12;234
334;60342;2013-03-16;2013-03-29;2013-04-28;190
335;69610;2018-03-26;2018-04-06;2018-05-06;130
336;69177;2014-03-03;2014-04-13;2016-06-05;189
337;60421;2017-09-07;2017-09-18;2018-10-30;195
338;62857;2017-11-02;2017-11-19;2017-11-29;136
339;62370;2015-02-01;2015-02-17;2016-04-10;212
340;60487;2015-08-13;2015-08-17;2018-06-10;193
341;63874;2014-04-10;2014-04-24;2017-12-22;229
342;62318;2016-01-16;2016-02-24;2018-11-23;169
343;69091;2013-09-18;2013-10-06;2013-11-05;190
344;67128;2014-01-20;2014-02-01;2014-02-21;193
345;68485;2018-06-11;2018-06-25;2018-07-15;233
346;60357;2014-07-31;2014-08-15;2014-09-24;153
347;64897;2016-02-20;2016-03-31;2016-04-30;194
348;65384;2013-01-26;2013-02-14;2013-03-06;266
349;61519;2015-08-12;2015-08-21;2015-09-20;186
350;61662;2018-07-21;2018-09-04;2018-09-14;147
351;60109;2013-12-10;2013-12-24;2017-12-01;242
352;63027;2016-08-08;2016-09-22;2016-10-22;225
353;68117;2015-04-22;2015-05-02;2017-07-02;121
354;69222;2013-01-07;2013-01-18;2013-09-01;193
355;62775;2018-05-29;2018-06-01;2018-07-27;129
356;64493;2014-10-01;2014-10-14;2018-06-22;185
357;67946;2013-07-07;2013-08-12;2016-03-20;226
358;64284;2015-01-09;2015-01-29;2015-02-28;219
359;64200;2016-11-17;2016-12-01;2017-07-26;139
360;62999;2018-09-07;2018-09-24;2018-12-06;150
361;61882;2014-06-03;2014-06-20;2014-07-20;251
362;67489;2013-01-16;2013-02-02;2013-03-14;207
363;62340;2016-06-08;2016-06-25;2016-07-05;178
364;62076;2015-08-23;2015-09-03;2017-01-24;195
365;68834;2013-12-21;2014-01-04;2014-02-03;145
366;61114;2015-08-05;2015-08-23;2015-10-02;116
367;68940;2016-05-20;2016-05-23;2016-06-12;127
368;67847;2015-12-28;2016-01-04;2016-01-24;204
369;68948;2014-10-22;2014-11-08;2014-12-18;150
370;65100;2013-03-16;2013-04-05;2013-05-15;215
371;67968;2017-06-04;2017-06-18;2018-05-01;226
372;61605;2013-02-07;2013-02-12;2018-05-06;200
373;64614;2016-05-24;2016-07-04;2017-03-01;156
374;67144;2018-07-09;2018-07-20;2018-07-30;166
375;68606;2016-06-21;2016-07-04;2017-04-15;158
376;69658;2014-07-10;2014-07-19;2016-11-05;196
377;61465;2015-01-17;2015-01-26;2015-02-25;240
378;63990;2013-08-12;2013-08-16;2013-08-26;200
379;66877;2016-12-10;2016-12-22;2017-01-01;272
380;68938;2014-06-25;2014-07-04;2016-01-09;208
381;67551;2018-09-13;2018-09-24;2018-09-28;169
382;62655;2017-02-25;2017-04-11;2017-05-01;131
383;66494;2018-02-18;2018-03-05;2018-04-04;155
384;64614;2014-04-10;2014-04-13;2015-09-29;133
385;62702;2014-02-12;2014-02-24;2015-04-07;210
386;67557;2014-06-03;2014-06-14;2014-06-24;188
387;69744;2013-10-02;2013-10-18;2017-10-11;269
388;69313;2016-09-10;2016-09-21;2018-09-17;221
389;65907;2016-06-25;2016-08-01;2017-02-09;224
390;62254;2013-07-19;2013-07-23;2013-08-02;157
391;65499;2017-04-23;2017-05-02;2018-01-29;167
392;65621;2018-01-04;2018-01-24;2018-03-05;215
393;61323;2016-04-29;2016-06-11;2016-06-21;199
394;64138;2018-08-18;2018-08-30;2018-12-06;161
395;69745;2015-06-07;2015-06-18;2015-07-08;173
396;67737;2013-05-14;2013-05-26;2013-07-05;202
397;61239;2015-11-13;2015-11-18;2015-12-07;223
398;63295;2015-09-08;2015-10-16;2015-11-02;210
399;64237;2015-09-02;2015-09-20;2015-10-30;181
400;67466;2018-04-02;2018-05-17;2018-06-26;183
401;68375;2015-10-28;2015-11-06;2018-05-04;221
402;62228;2017-12-25;2018-01-02;2018-10-29;198
403;62298;2017-10-17;2017-11-24;2018-01-03;136
404;61675;2014-10-14;2014-11-21;2017-10-04;160
405;63789;2018-06-30;2018-08-10;2018-08-11;218
406;64106;2015-11-18;2015-11-27;2015-12-17;257
407;61874;2013-10-22;2013-11-28;2015-02-26;231
408;60787;2017-06-30;2017-08-05;2017-08-25;166
409;67417;2015-06-02;2015-06-15;2015-07-25;151
410;64708;2018-02-01;2018-02-11;2018-12-25;285
411;61605;2013-04-26;2013-05-06;2015-04-16;209
412;60951;2014-07-31;2014-08-03;2014-08-08;179
413;60985;2014-12-21;2015-01-27;2016-12-19;201
414;64727;2018-08-26;2018-10-10;2018-12-01;216
415;68081;2014-11-20;2014-12-05;2014-12-25;192
416;69850;2017-07-06;2017-07-18;2017-08-27;198
417;64568;2015-06-08;2015-06-12;2016-01-31;256
418;62574;2014-07-29;2014-08-09;2014-09-08;173
419;64729;2014-01-28;2014-02-09;2014-02-19;177
420;69166;2015-01-19;2015-02-01;2017-09-02;210
421;61985;2018-04-18;2018-04-23;2018-05-23;197
422;68907;2014-10-20;2014-12-04;2014-12-20;188
423;68883;2016-03-02;2016-03-12;2016-04-21;203
424;60362;2013-11-17;2013-11-23;2013-12-03;160
425;60040;2014-02-07;2014-02-21;2018-04-21;197
426;60432;2018-08-06;2018-08-11;2018-09-10;171
427;68008;2017-10-01;2017-11-11;2017-12-21;252
428;69549;2015-05-13;2015-06-19;2018-02-16;168
429;66343;2017-06-09;2017-06-15;2018-03-31;194
430;69432;2017-06-08;2017-06-23;2017-08-02;233
431;67486;2015-10-12;2015-10-29;2015-11-08;171
432;63716;2016-02-16;2016-02-29;2016-03-30;204
433;61985;2015-02-02;2015-02-10;2015-06-25;158
434;66910;2015-03-04;2015-03-17;2017-01-19;164
435;66646;2017-04-09;2017-05-24;2017-06-13;165
436;60003;2018-05-01;2018-05-19;2018-06-18;168
437;60422;2014-07-13;2014-07-17;2014-08-06;185
438;64474;2015-01-20;2015-01-25;2015-02-14;91
439;60090;2018-01-01;2018-02-07;2018-04-16;195
440;68741;2017-06-23;2017-07-31;2018-04-09;188
441;60567;2018-04-07;2018-04-22;2018-09-13;160
442;68375;2018-02-16;2018-02-20;2018-03-02;148
443;68226;2017-10-11;2017-10-20;2018-03-06;187
444;68368;2013-06-09;2013-06-13;2015-10-02;176
445;65398;2015-06-13;2015-07-24;2016-10-24;281
446;68924;2013-10-07;2013-10-10;2018-12-16;237
447;69658;2016-10-29;2016-11-04;2018-08-13;191
448;61170;2014-11-28;2014-12-05;2014-12-25;169
449;67176;2014-09-21;2014-10-06;2014-10-26;202
450;64207;2017-02-24;2017-03-03;2017-04-05;130
451;64258;2016-01-12;2016-01-18;2018-04-10;138
452;62746;2018-10-07;2018-11-13;2018-12-24;212
453;69034;2015-02-17;2015-03-03;2015-04-12;108
454;61454;2017-04-17;2017-04-29;2017-05-09;171
455;65486;2016-01-29;2016-03-09;2016-03-19;151
456;67490;2013-01-09;2013-02-20;2014-03-26;186
457;65453;2013-05-28;2013-06-09;2013-06-19;201
458;66746;2016-05-17;2016-05-23;2016-07-02;173
459;62992;2016-02-14;2016-02-20;2018-09-07;225
460;68301;2015-10-16;2015-10-29;2017-04-14;187
461;66494;2018-09-03;2018-09-18;2018-09-28;236
462;64102;2017-07-30;2017-08-08;2017-09-07;198
463;69157;2013-08-11;2013-08-25;2018-02-06;261
464;61201;2017-02-03;2017-02-20;2017-03-12;265
465;64118;2013-06-05;2013-07-20;2016-06-04;197
466;65264;2017-04-14;2017-04-20;2017-05-10;86
467;62663;2015-07-06;2015-08-17;2015-09-26;159
468;65287;2014-08-09;2014-08-21;2014-08-31;182
469;67939;2018-01-03;2018-01-21;2018-01-31;130
470;62127;2014-07-16;2014-08-04;2014-08-14;158
471;68056;2017-08-01;2017-08-09;2018-04-04;235
472;68380;2018-01-08;2018-01-12;2018-04-03;160
473;64145;2013-06-08;2013-06-16;2013-07-06;182
474;61458;2015-05-03;2015-05-07;2015-06-06;243
475;62932;2017-04-23;2017-06-03;2018-08-02;138
476;61379;2017-06-03;2017-06-23;2017-07-03;144
477;65987;2014-10-12;2014-10-22;2015-10-29;195
478;63009;2014-10-17;2014-10-21;2015-06-12;138
479;63202;2015-09-19;2015-10-08;2015-11-17;196
480;60622;2013-10-18;2013-11-29;2013-12-19;221
481;64919;2013-12-13;2013-12-31;2014-02-05;214
482;66910;2013-12-30;2014-02-06;2014-06-26;176
483;69667;2013-06-28;2013-08-13;2013-08-23;165
484;66117;2018-03-07;2018-03-15;2018-04-14;202
485;65856;2017-04-30;2017-05-10;2018-04-18;186
486;64675;2016-02-24;2016-03-06;2016-04-15;198
487;60418;2016-10-24;2016-10-29;2016-12-08;255
488;64644;2016-01-29;2016-02-05;2016-03-16;121
489;62089;2013-10-29;2013-12-05;2015-12-07;234
490;60724;2013-12-08;2013-12-18;2014-01-17;164
491;66643;2015-10-25;2015-12-09;2015-12-29;224
492;66985;2017-05-19;2017-06-03;2017-07-03;187
493;60726;2015-02-06;2015-02-21;2015-03-23;182
494;67433;2018-02-02;2018-02-13;2018-03-05;183
495;64760;2014-07-18;2014-08-02;2017-11-17;242
496;68135;2015-12-24;2015-12-29;2016-02-07;214
497;68382;2017-04-28;2017-05-01;2017-05-21;242
